Provinsi di Indonesia,
,Upah Minimum Provinsi (UMP) per Bulan Menurut Provinsi di Indonesia (rupiah)
,2023
Aceh,3413666
Sumatera Utara,2710494
Sumatera Barat,2742476
Riau,3191663
Jambi,2943033
Sumatera Selatan,3404177
Bengkulu,2418280
Lampung,2633285
Kepulauan Bangka Belitung,3498479
Kepulauan Riau,3279194
DKI Jakarta,4901798
Jawa Barat,1986670
Jawa Tengah,1958170
DI Yogyakarta,1981782
Jawa Timur,2040244
Banten,2661280
Bali,2713672
Nusa Tenggara Barat,2371407
Nusa Tenggara Timur,2123994
Kalimantan Barat,2608602
Kalimantan Tengah,3181013
Kalimantan Selatan,3149978
Kalimantan Timur,3201396
Kalimantan Utara,3251703
Sulawesi Utara,3485000
Sulawesi Tengah,2599546
Sulawesi Selatan,3385145
Sulawesi Tenggara,2758985
Gorontalo,2989350
Sulawesi Barat,2871795
Maluku,2812828
Maluku Utara,2976720
Papua Barat,3282000
Papua Barat Daya,-
Papua,3864696
Papua Selatan,-
Papua Tengah,-
Papua Pegunungan,-
